,feature,importance,normalized_importance,cumulative_importance
0,Time(s),24378.699999999997,0.14664691219002796,0.14664691219002796
1,Engine_coolant_temperature.1,24262.3,0.14594672306678025,0.2925936352568082
2,Engine_soacking_time,23331.2,0.14034581161784593,0.43293944687465413
3,Long_Term_Fuel_Trim_Bank1,15687.900000000001,0.09436853046905454,0.5273079773437087
4,Torque_of_friction,11149.900000000001,0.06707077925515278,0.5943787565988615
5,PathOrder,8229.300000000001,0.04950228824692856,0.6438810448457901
6,Intake_air_pressure,6579.499999999999,0.03957813003787277,0.6834591748836629
7,Maximum_indicated_engine_torque,4971.8,0.029907218925799204,0.7133663938094621
8,Accelerator_Pedal_value,4181.8,0.02515507625083614,0.7385214700602982
9,Engine_coolant_temperature,3959.9,0.023820265542514235,0.7623417356028125
10,Fuel_consumption,3178.7,0.01912105812772797,0.7814627937305405
11,Master_cylinder_pressure,2246.5,0.013513529771271553,0.794976323501812
12,Current_spark_timing,2192.9,0.013191105913831023,0.808167429415643
13,Calculated_road_gradient,2071.2,0.012459035327067724,0.8206264647427107
14,Wheel_velocity_front_left-hand,2031.9,0.0122226312674145,0.8328490960101252
15,Throttle_position_signal,1949.6,0.01172756627735189,0.8445766622874772
16,Calculated_LOAD_value,1776.3999999999999,0.010685704111144797,0.855262366398622
17,Activation_of_Air_compressor,1764.8,0.01061592581363901,0.865878292212261
18,Engine_speed,1688.6,0.010157554583471687,0.8760358467957327
19,Steering_wheel_angle,1665.7,0.010019802599602506,0.8860556493953352
20,Current_Gear,1594.1,0.009589102073618511,0.8956447514689537
21,Engine_torque,1548.5,0.009314801179975072,0.9049595526489288
22,Absolute_throttle_position,1479.2,0.008897936006082744,0.9138574886550116
23,Engine_torque_after_correction,1469.1999999999998,0.008837782301336375,0.922695270956348
24,Engine_Idel_Target_Speed,1155.6,0.006951362120490277,0.9296466330768383
25,Wheel_velocity_front_right-hand,1144.6,0.006885193045269272,0.9365318261221075
26,Acceleration_speed_-_Lateral,1127.0,0.006779322524915665,0.9433111486470231
27,Acceleration_speed_-_Longitudinal,1074.7,0.006464718649092161,0.9497758672961153
28,Wheel_velocity_rear_right-hand,995.7,0.005989504381595854,0.9557653716777111
29,Wheel_velocity_rear_left-hand,973.0999999999999,0.005853557008869062,0.9616189286865802
30,Torque_converter_speed,971.5,0.005843932416109644,0.9674628611026899
31,Flywheel_torque_(after_torque_interventions),753.0,0.004529573967401505,0.9719924350700914
32,Flywheel_torque,703.6999999999999,0.0042330162030019105,0.9762254512730932
33,Short_Term_Fuel_Trim_Bank1,605.5000000000001,0.0036423068223925786,0.9798677580954858
34,Vehicle_speed,597.9999999999999,0.0035971915438328013,0.9834649496393185
35,Steering_wheel_speed,563.8,0.003391465873600223,0.9868564155129187
36,Torque_converter_turbine_speed_-_Unfiltered,501.0,0.003013700607793033,0.9898701161207117
37,Gear_Selection,487.9,0.002934899254575291,0.992805015375287
38,Minimum_indicated_engine_torque,432.3,0.0026004446561854852,0.9954054600314725
39,Converter_clutch,204.6,0.0012307447991106878,0.9966362048305831
40,Indication_of_brake_switch_ON/OFF,168.49999999999997,0.0010135899249762994,0.9976497947555595
41,Clutch_operation_acknowledge,143.79999999999998,0.0008650102742527706,0.9985148050298123
42,TCU_requests_engine_torque_limit_(ETL),123.80000000000001,0.0007447028647600349,0.9992595078945723
43,TCU_requested_engine_RPM_increase,120.4,0.0007242506051462699,0.9999837584997185
44,Engine_in_fuel_cut_off,2.7,1.6241500281519342e-05,1.0
45,Fuel_Pressure,0.0,0.0,1.0
46,Glow_plug_control_request,0.0,0.0,1.0
47,Target_engine_speed_used_in_lock-up_module,0.0,0.0,1.0
48,Filtered_Accelerator_Pedal_value,0.0,0.0,1.0
49,Standard_Torque_Ratio,0.0,0.0,1.0
50,Torque_scaling_factor(standardization),0.0,0.0,1.0
51,Inhibition_of_engine_fuel_cut_off,0.0,0.0,1.0
52,Requested_spark_retard_angle_from_TCU,0.0,0.0,1.0
